	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
111	HLH	49	0.7619047619047619	1.2030075187969924	0.3877551020408163	21	0.2
112	zf-CXXC	46	0.75	1.2794117647058825	0.3695652173913043	12	0.2
113	Histone	93	0.8	4.16	0.16129032258064516	5	0.2
114	T-box	179	1.0	6.16	0.13966480446927373	2	0.2
115	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.2
116	zf-H2C2_5	24	1.0	0.6	0.625	1	0.2
117	GATA	33	0.6923076923076923	0.735576923076923	0.48484848484848486	13	0.2
118	Ets	81	0.6285714285714286	1.408	0.30864197530864196	35	0.2
119	Helicase_C	55	0.0	0.0	0.21818181818181817	2	0.2
120	Pou	69	0.5	1.4166666666666665	0.2608695652173913	14	0.2
121	zf-C4	56	0.8888888888888888	1.7309941520467835	0.3392857142857143	9	0.2
122	bZIP_1	63	0.5	1.75	0.2222222222222222	26	0.2
123	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.2
124	Forkhead	72	0.7777777777777778	2.7222222222222223	0.2222222222222222	9	0.2
125	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	4	0.1
126	CSD	66	0.6666666666666666	2.2666666666666666	0.22727272727272727	3	0.1
127	HMG_box	51	0.7727272727272727	0.8036363636363636	0.49019607843137253	22	0.1
128	MH1	91	0.25	1.5	0.14285714285714285	4	0.1
129	KH_1	48	1.0	5.857142857142857	0.14583333333333334	1	0.1
130	HLH	49	0.68	1.073684210526316	0.3877551020408163	25	0.1
131	zf-CXXC	46	0.6428571428571429	1.096638655462185	0.3695652173913043	14	0.1
132	Histone	93	0.8	4.16	0.16129032258064516	5	0.1
133	T-box	179	1.0	6.16	0.13966480446927373	3	0.1
134	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.1
135	Exo_endo_phos	149	1.0	17.625	0.053691275167785234	1	0.1
136	zf-H2C2_5	24	1.0	0.6	0.625	1	0.1
137	GATA	33	0.5882352941176471	0.625	0.48484848484848486	17	0.1
138	Ets	81	0.6052631578947368	1.3557894736842104	0.30864197530864196	38	0.1
139	Helicase_C	55	0.0	0.0	0.21818181818181817	3	0.1
140	Pou	69	0.45	1.275	0.2608695652173913	20	0.1
141	zf-C4	56	0.8	1.5578947368421054	0.3392857142857143	10	0.1
142	bZIP_1	63	0.5185185185185185	1.8148148148148149	0.2222222222222222	27	0.1
143	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.1
144	Forkhead	72	0.7	2.45	0.2222222222222222	10	0.1
145	zf-CCHC	17	0.7142857142857143	1.0204081632653061	0.4117647058823529	7	0.05
146	CSD	66	0.6666666666666666	2.2666666666666666	0.22727272727272727	6	0.05
147	HMG_box	51	0.7391304347826086	0.768695652173913	0.49019607843137253	23	0.05
148	MH1	91	0.2	1.2000000000000002	0.14285714285714285	5	0.05
149	KH_1	48	0.3333333333333333	1.952380952380952	0.14583333333333334	3	0.05
150	HLH	49	0.6071428571428571	0.9586466165413533	0.3877551020408163	28	0.05
151	zf-CXXC	46	0.625	1.0661764705882353	0.3695652173913043	16	0.05
